from_pin.full_name,to_pin.full_name,delay_max_rise,delay_max_fall,variation_delay_max_rise.mean,variation_delay_max_rise.std_dev,variation_delay_max_fall.mean,variation_delay_max_fall.std_dev
i58/i418/Y,i58/i276/A1,0.00048246129313866953,0.00048341886049740873,0.00048246129313866953,UNINIT,0.00048341886049740873,UNINIT
i58/i418/Y,i58/i135/A2,0.0003818473315320148,0.0003822567262723453,0.0003818473315320148,UNINIT,0.0003822567262723453,UNINIT
i58/i418/Y,i58/i259/B1,0.0004137246101265646,0.00041425890495716544,0.0004137246101265646,UNINIT,0.00041425890495716544,UNINIT
i58/i418/Y,i58/i225/B1,0.00047711140593875706,0.00047777060085962825,0.00047711140593875706,UNINIT,0.00047777060085962825,UNINIT
i58/i418/Y,i58/i393/A,0.00047845755135611506,0.00047920001300383314,0.00047845755135611506,UNINIT,0.00047920001300383314,UNINIT
i58/i430/Y,i58/i363/A,0.001959495066206074,0.0019513349269750788,0.001959495066206074,UNINIT,0.0019513349269750788,UNINIT
i58/i430/Y,i58/i223/B2,0.0007815068037153594,0.0007789532907587216,0.0007815068037153594,UNINIT,0.0007789532907587216,UNINIT
i58/i430/Y,i58/i167/B,0.001952674133498533,0.0019442017440418622,0.001952674133498533,UNINIT,0.0019442017440418622,UNINIT
i58/i430/Y,i58/i495/B,0.0019271945150833856,0.0019188886590804086,0.0019271945150833856,UNINIT,0.0019188886590804086,UNINIT
i58/i430/Y,i58/i509/B1,0.0007761916109849665,0.0007735825868770974,0.0007761916109849665,UNINIT,0.0007735825868770974,UNINIT
i58/i430/Y,i58/i392/A,0.0006749184544574405,0.000672788214028941,0.0006749184544574405,UNINIT,0.000672788214028941,UNINIT
i58/i430/Y,i58/i418/A,0.001901208357413253,0.0018930274015005464,0.001901208357413253,UNINIT,0.0018930274015005464,UNINIT
